symbol,abbr,sector,code
삼성전자,삼성전자,전기전자,a005930
현대차,현대차,자동차,a005380
SK하이닉스,SK하이닉스,전기전자,a000660
한국전력,한국전력,전기가스,a015760
POSCO,POSCO,철강금속,a005490
NAVER,NAVER,서비스,a035420
SK텔레콤,SK텔레콤,통신,a017670
현대모비스,현대모비스,운수장비,a012330
신한지주,신한지주,금융,a055550
기아차,기아차,자동차,a000270
KB금융,KB금융,금융,a105560
LG화학,LG화학,화학,a051910
LGD,LGD,전기전자,a034220
KT&G,KT&G,기타,a033780
LG,LG,서비스,a003550
LG전자,LG전자,전기전자,a066570
하나금융지주,하나금융지주,금융,a086790
현대중공업,현대중공업,운수장비,a009540
롯데쇼핑,롯데쇼핑,유통,a023530
KT,KT,통신,a030200
기업은행,기업은행,은행,a024110
SK이노베이션,SK이노베이션,서비스,a096770
삼성SDI,삼성SDI,전기전자,a006400
현대제철,현대제철,철강금속,a004020
고려아연,고려아연,철강금속,a010130
강원랜드,강원랜드,서비스,a035250
롯데케미칼,롯데케미칼,화학,a011170
S-Oil,S-Oil,화학,a010950
LG유플러스,LG유플러스,통신,a032640
삼성카드,삼성카드,금융,a029780
삼성중공업,삼성중공업,운수장비,a010140
현대건설,현대건설,건설,a000720
한국가스공사,한국가스공사,전기가스,a036460
CJ,CJ,서비스,a001040
엔씨소프트,엔씨소프트,서비스,a036570
삼성전기,삼성전기,전기전자,a009150
GS,GS,서비스,a078930
대우조선해양,대우조선해양,운수장비,a042660
호텔신라,호텔신라,유통,a008770
삼성증권,삼성증권,증권,a016360
대우인터내셔널,대우인터내셔널,유통,a047050
대우증권,대우증권,금융,a006800
대한항공,대한항공,운수창고,a003490
한국금융지주,한국금융지주,금융,a071050
두산중공업,두산중공업,기계,a034020
대림산업,대림산업,건설,a000210
두산인프라코어,두산인프라코어,기계,a042670
미래에셋,미래에셋,증권,a037620
하이트진로,하이트진로,음식료,a000080
GS건설,GS건설,건설,a006360
삼성테크윈,삼성테크윈,기계,a012450
대상,대상,음식료,a001680
KODEX200,KODEX200,ETF,a069500
